iter	Passed	Remaining
0	0	73
1	1	86
2	2	89
3	3	91
4	4	88
5	5	88
6	6	89
7	7	90
8	9	93
9	10	91
10	11	90
11	12	89
12	13	89
13	14	89
14	15	87
15	16	86
16	17	85
17	18	83
18	19	82
19	19	79
20	20	77
21	21	75
22	22	74
23	23	73
24	23	71
25	24	70
26	25	68
27	26	66
28	26	65
29	27	64
30	28	63
31	29	63
32	30	61
33	31	60
34	31	59
35	32	58
36	33	56
37	33	55
38	34	54
39	35	52
40	35	51
41	36	50
42	37	49
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	34
58	47	33
59	48	32
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
